code,name,latin_name,has_unique_serial,unit_id,description
FU-01,FU-NAME-0,FU-NAME-0,1,1,-
FU-02,FU-NAME-1,FU-NAME-1,0,2,-
FU-03,FU-NAME-2,FU-NAME-2,1,3,-
FU-04,FU-NAME-3,FU-NAME-3,1,4,-
FU-05,FU-NAME-4,FU-NAME-4,1,5,-
FU-06,FU-NAME-5,FU-NAME-5,0,6,-
FU-07,FU-NAME-6,FU-NAME-6,0,7,-
FU-08,FU-NAME-7,FU-NAME-7,1,8,-
FU-09,FU-NAME-8,FU-NAME-8,1,9,-
FU-10,FU-NAME-9,FU-NAME-9,0,10,-
FU-11,FU-NAME-10,FU-NAME-10,1,9,-
FU-12,FU-NAME-11,FU-NAME-11,0,8,-
FU-13,FU-NAME-12,FU-NAME-12,1,7,-
FU-14,FU-NAME-13,FU-NAME-13,0,6,-
FU-15,FU-NAME-14,FU-NAME-14,1,5,-
FU-16,FU-NAME-15,FU-NAME-15,0,4,-
FU-17,FU-NAME-16,FU-NAME-16,1,3,-
FU-18,FU-NAME-17,FU-NAME-17,0,2,-
FU-19,FU-NAME-18,FU-NAME-18,1,1,-
FU-20,FU-NAME-19,FU-NAME-19,0,1,-
